path	classification	base_sha256	source_sha256	target_sha256	source_mode	target_mode	planned_output
AGENTS.md	b03_only	08f88cf5942d09492ff204f9cb6aa9c4d1e1a7d0b684811563d2e45b2531042c	e822a4514fcc03418fe98f4974fdb7f70147d38ee815d92590ec6802d3af39fa	08f88cf5942d09492ff204f9cb6aa9c4d1e1a7d0b684811563d2e45b2531042c	0644	0644	105cf001742480b9f8bc02776675d3baf692c578428d7018191d8f00604bab87
README.md	b03_only	adc49c1fbbab6ad268df73dd3fccdd45067612bd7f95ffed202b1f9cb49ae4b6	6555f93652ee6abcfded16fbdb1ab1e6a82cb613797b104bc6da495695c05c50	adc49c1fbbab6ad268df73dd3fccdd45067612bd7f95ffed202b1f9cb49ae4b6	0644	0644	a2dd7a3de5fa63f1e1291c98be0c19b5b4b6b5baf0828349a425acf807e6d4a0
cmd/repomesh-web/main.go	b03_only	012e3a33ed2bc26a56e39dd0a5699f868efe131469c1ab60540d1e13b95a2783	11612bc8b6e272e5b962fa2558c0691716684c906e328d9cff7de960e3774421	012e3a33ed2bc26a56e39dd0a5699f868efe131469c1ab60540d1e13b95a2783	0644	0644	11612bc8b6e272e5b962fa2558c0691716684c906e328d9cff7de960e3774421
docs/current/DEVELOPMENT-START.md	b03_only	6f561d198e547a8947f2f57368698c251c24da9eb2ffba5c9225207d213fc665	3ddd1f98ff479b5ff53b43dec6acdbbe93ac571cd02197333a46db260393163e	6f561d198e547a8947f2f57368698c251c24da9eb2ffba5c9225207d213fc665	0644	0644	821445b4e3d79e39ebdb5805709196a358460ec1b32dc36d319b599485d70eb6
docs/current/HANDOFF.md	both_different	86e67979ff9bfe5913fd79e2995749a610ff72e46fd4e2e6b5b16344a50f0e3f	9db3351c4ef115a44dd6b84dde041fa18e2aaebd53691f6f3320030e071f8b9f	55f813de2d8289700c366959ed00a8b18d14a891b1fec43deec0d8843604b504	0644	0644	9f5034f8d7ed1661f6ae6c5748f6a5d2cacd51b2e689b0f0bf3e8c85e7f580fe
docs/current/IMPLEMENTATION-PLAN.md	both_different	de48c73d9d61c5fab4d76a3aa73803b88b02d4ab4e79e83c7b1c20cf95524f85	3976a9bf72d07cbfb93500d24f40760a1df67e8cb115a021e6b06b1f79a440b2	eaab816f92ec0f9fda654597210a333d2593dcddaa9fdf61d90d97d246f598cb	0644	0644	2921a7f452386e744baf1f3a2acdf11ac89c9e7e5eaf1ef7c5e458c032489417
docs/current/README.md	b03_only	a10931f313e82c562d24ea116eca896ca7c23404a7e41c112858b52a80f8873d	c2a131bb8b4b3c0289307507e431cc590ad96d2f179c1c170e078ab3809e7f7f	a10931f313e82c562d24ea116eca896ca7c23404a7e41c112858b52a80f8873d	0644	0644	0ec72ad82c37f494acef293bd80100fa12519e66d6b76c05924c303c5aeb1295
docs/current/project-development.md	b03_only	ABSENT	d924578b0602a3886161d8ee8f0c4abb532bd1446b907a3dc43dd4a3e608276f	ABSENT	0644	ABSENT	f9972340344411cd221e4bb8e4af4c54a847131146435c764b4cfef3df8248fd
internal/access/callback.go	b03_only	0091d3d207c35caa386d2f871967be8ebda06c192675b357889d226225f1b977	27fe908127845f43188977249e0b16b566cc84b176336176e9436ace3ab5eb5c	0091d3d207c35caa386d2f871967be8ebda06c192675b357889d226225f1b977	0644	0644	27fe908127845f43188977249e0b16b566cc84b176336176e9436ace3ab5eb5c
internal/access/deployment.go	b03_only	a76a000bfa13d84edf8c1864503408f9c14742c1c6e911d12f3a0a0e15729b85	456d9d7e9e6258816b13ed0987637aed30380a8f5725bcc9bef09d88872ef990	a76a000bfa13d84edf8c1864503408f9c14742c1c6e911d12f3a0a0e15729b85	0644	0644	456d9d7e9e6258816b13ed0987637aed30380a8f5725bcc9bef09d88872ef990
internal/access/destination.go	b03_only	e5bdecd680faf36d595489d78a995a69f99626a3be8634d5b9a89298321682cf	ba057e04e5bfce97f09fd1ead3e99a702839ea4340e57360d475414e8d407ae9	e5bdecd680faf36d595489d78a995a69f99626a3be8634d5b9a89298321682cf	0644	0644	ba057e04e5bfce97f09fd1ead3e99a702839ea4340e57360d475414e8d407ae9
internal/access/project_access.go	b03_only	ABSENT	06c2ac27cb976f5119b7f77a7f2c38c506f2aa4c4172f071dfcecf82a4c95cdf	ABSENT	0644	ABSENT	06c2ac27cb976f5119b7f77a7f2c38c506f2aa4c4172f071dfcecf82a4c95cdf
internal/access/project_access_test.go	b03_only	ABSENT	0a94fc869ec612cc517d15f01b7492d1761fbd784d42aeb1000f907caac21c2f	ABSENT	0644	ABSENT	0a94fc869ec612cc517d15f01b7492d1761fbd784d42aeb1000f907caac21c2f
internal/access/types.go	b03_only	3250adbd894cb91847ce018bc487c489f27bc6df014bf3bcfb840d9bec87ff43	0f1a9e3188b0a78081d8129d0f34432570a96fbc975ee2ea7cd7936d44dcd632	3250adbd894cb91847ce018bc487c489f27bc6df014bf3bcfb840d9bec87ff43	0644	0644	0f1a9e3188b0a78081d8129d0f34432570a96fbc975ee2ea7cd7936d44dcd632
internal/database/migrations/0004_projects.sql	b03_only	ABSENT	69f5f11d6c186258c067aec98a6ffb0fab92fb1043d7743681ee0e01908763bc	ABSENT	0644	ABSENT	69f5f11d6c186258c067aec98a6ffb0fab92fb1043d7743681ee0e01908763bc
internal/database/postgres_test.go	b03_only	34b040942bb7180510477f4d5766ae262044884a0b867f2c1b209cc9919de465	7a3fcd0cdddac327eb8bab975ded9562082b994151fbe331c7ec060d0e34050d	34b040942bb7180510477f4d5766ae262044884a0b867f2c1b209cc9919de465	0644	0644	7a3fcd0cdddac327eb8bab975ded9562082b994151fbe331c7ec060d0e34050d
internal/jsoninput/decode.go	b03_only	7a59d4d1acfb4bb54332713fed65a6ef00feac1704d55b04a19324a0e357bf66	b78784c21aaecee43922875545e6ba6896a8c567c2be8c38b8672b035fc743b8	7a59d4d1acfb4bb54332713fed65a6ef00feac1704d55b04a19324a0e357bf66	0644	0644	b78784c21aaecee43922875545e6ba6896a8c567c2be8c38b8672b035fc743b8
internal/jsoninput/decode_test.go	b03_only	188e15f2cc20200f0fb6beb6355343595f1927c5c1b1afb49a24f2964aedb028	09c826698ac76a5354fea28267ff506964bbca3a95bd3e9491965add13efde21	188e15f2cc20200f0fb6beb6355343595f1927c5c1b1afb49a24f2964aedb028	0644	0644	09c826698ac76a5354fea28267ff506964bbca3a95bd3e9491965add13efde21
internal/projects/input.go	b03_only	ABSENT	766702cfc90e5c9d86ac8651fd69d2d7ab5be0e3c8086fad051df15a6fb3c8ac	ABSENT	0644	ABSENT	766702cfc90e5c9d86ac8651fd69d2d7ab5be0e3c8086fad051df15a6fb3c8ac
internal/projects/input_test.go	b03_only	ABSENT	da1cc0df362c735590c65af23835529bf3f43e342fe3f939ee5b055464bbce40	ABSENT	0644	ABSENT	da1cc0df362c735590c65af23835529bf3f43e342fe3f939ee5b055464bbce40
internal/projects/postgres_test.go	b03_only	ABSENT	6987fd85ed171f0c7c4b8216718e7aae0db549c0f68f17cd472ea6ec32704498	ABSENT	0644	ABSENT	6987fd85ed171f0c7c4b8216718e7aae0db549c0f68f17cd472ea6ec32704498
internal/projects/service.go	b03_only	ABSENT	3c19cc4736ce9d1617dcacd2533c2ca62fb7be45b1cd867ee6cf7eec17eee20c	ABSENT	0644	ABSENT	3c19cc4736ce9d1617dcacd2533c2ca62fb7be45b1cd867ee6cf7eec17eee20c
internal/projects/storage.go	b03_only	ABSENT	a2f13194639616830f4da7b381be21024416b5045e38e8c86ad96d5108d8344e	ABSENT	0644	ABSENT	a2f13194639616830f4da7b381be21024416b5045e38e8c86ad96d5108d8344e
internal/projects/types.go	b03_only	ABSENT	69b5a5eea9c20dfce2f70e8c599a8c10b77a148f41d4a72ec4e9c04fd7f604ce	ABSENT	0644	ABSENT	69b5a5eea9c20dfce2f70e8c599a8c10b77a148f41d4a72ec4e9c04fd7f604ce
internal/secrets/inspection.go	b03_only	ABSENT	cebb0be302d6365f2cb8774af6882bab1bac472385f89456016efd566656203e	ABSENT	0644	ABSENT	cebb0be302d6365f2cb8774af6882bab1bac472385f89456016efd566656203e
internal/web/project_browser_test.go	b03_only	ABSENT	530171f013c89dc6a72a0161e993b3aa2205b57c86abde9400b961b3c3e73b33	ABSENT	0644	ABSENT	530171f013c89dc6a72a0161e993b3aa2205b57c86abde9400b961b3c3e73b33
internal/web/project_process_test.go	b03_only	ABSENT	0974cb5fd69c486ab19c5ce86f7277326bfd6b08acd0289b3d1fc9ea041a1d4a	ABSENT	0644	ABSENT	0974cb5fd69c486ab19c5ce86f7277326bfd6b08acd0289b3d1fc9ea041a1d4a
internal/web/projects.go	b03_only	ABSENT	150bb766dc9bc4f3a7347e4cccb9fda64635a93d3401d87a55616b9460e87054	ABSENT	0644	ABSENT	150bb766dc9bc4f3a7347e4cccb9fda64635a93d3401d87a55616b9460e87054
internal/web/server.go	b03_only	ae30dc0061bd87633cbae7bf430359fd7c0c5366550f0fcf62f9cdada05cdf5d	d4cb0d947209659b931b90575f67c8a569f95df1209a3c4d8b9b9c97f5818d22	ae30dc0061bd87633cbae7bf430359fd7c0c5366550f0fcf62f9cdada05cdf5d	0644	0644	d4cb0d947209659b931b90575f67c8a569f95df1209a3c4d8b9b9c97f5818d22
internal/web/server_test.go	b03_only	c43d82882af5cecd88f4fb2274251ed0cdcce62e922bf8ee1374b7532770b24d	42ca905f7fd11f6f9901daf683650f88f6184a9608c32d53231cc2064a24cf70	c43d82882af5cecd88f4fb2274251ed0cdcce62e922bf8ee1374b7532770b24d	0644	0644	42ca905f7fd11f6f9901daf683650f88f6184a9608c32d53231cc2064a24cf70
scripts/build.ps1	b03_only	98191d5a465610cf8d0e064d18c9284703188bc88cfca997d626e27d5a0929f0	b7906a37468c6a8fa0c965f3da93238f0009983ed79633d77d988499b2ea2662	98191d5a465610cf8d0e064d18c9284703188bc88cfca997d626e27d5a0929f0	0644	0644	b7906a37468c6a8fa0c965f3da93238f0009983ed79633d77d988499b2ea2662
scripts/verify-batch.ps1	b03_only	3c4128c8c510be2974aeb7497bb58ca02acd8cacb3e01519642d24adbfcb548f	eb74b9055c8ef2364bc2cc1a4a3c291b253f1e8513bed367d9ba227df9ba2f36	3c4128c8c510be2974aeb7497bb58ca02acd8cacb3e01519642d24adbfcb548f	0644	0644	eb74b9055c8ef2364bc2cc1a4a3c291b253f1e8513bed367d9ba227df9ba2f36
web/package.json	b03_only	b8a18f20febc991e51b2cb9a864a54fee3fd12704551107dca3f61bce759ee56	0a8a6f788ab20852219c500e902545c7551ca37fc760cf440c779b668361aee5	b8a18f20febc991e51b2cb9a864a54fee3fd12704551107dca3f61bce759ee56	0644	0644	0a8a6f788ab20852219c500e902545c7551ca37fc760cf440c779b668361aee5
